기간,품목코드,품목명,반입_금액(1000달러),반입_금액_증가율(퍼센트),반입_중량(kg),반입_중량_증가율(퍼센트),반출_금액(1000달러),반출_금액_증가율(퍼센트),반출_중량(kg),반축_중량_증가율(퍼센트),반출입_금액(1000달러),반출입_금액_증가율(퍼센트),반출입_중량(kg),반출입_중량_증가율(퍼센트)
1991,16,제16류 육류·어류·갑각류·연체동물 또는 기타 수생무척추동물의 조제품,554.041,,229372,,,,,,554.041,,229372,
1991,22,제22류 음료·알콜 및 식초,333.672,660.956,2520000,,,,,,333.672,660.956,2520000,
1991,25,"제25류 소금, 황, 토석류 및 석고·석회와 시멘트",3840.087,140.169,68400000,94.179,,,,,3840.087,140.169,68400000,94.179
1991,27,"제27류 광물성 연료, 광물유와 이들의 증류물, 역청물질 및 광물성 왁스",2778.84,,69324000,,1391.894,,3970000,,4170.734,,73294000,
1991,28,제28류 무기화학품 및 귀금속·희토류금속·방사성원소 또는 동위원소의 유기 또는 무기화합물,138.382,,400830,,4.875,,5000,,143.257,,405830,
1991,29,제29류 유기화학품,920.016,,1009523,,1136.4,,1200000,,2056.416,,2209523,
1991,32,"제32류 유연 또는 염색엑스, 탄닌과 그들의 유도체, 염료·안료와 기타 착색제, 페인트와 바니쉬, 퍼티와 기타 매스틱 및 잉크",,,,,2.52,,1000,,2.52,,1000,
1991,38,제38류 각종 화학공업 생산품,,,,,56,,20000,,56,,20000,
1991,39,제39류 플라스틱과 그 제품,613.419,,1232050,,835.324,,939000,,1448.743,,2171050,
1991,44,제44류 목재와 그 제품 및 목탄,543.281,,3302378,,,,,,543.281,,3302378,
1991,46,제46류 짚·에스파르토 또는 기타 조물재료의 제품과 농세공물 및 지조세공물,139.427,109.481,0,,,,,,139.427,109.481,0,
1991,50,제50류 견,1588.185,677.614,46999,721.373,,,,,1588.185,677.614,46999,721.373
1991,52,제52류 면,,,,,25.441,,1518,,25.441,,1518,
1991,55,제55류 인조스테이플섬유,,,,,0.198,,110,,0.198,,110,
1991,56,제56류 워딩·펠트 및 부직포·특수사·끈·코디지·로프 및 케이블과 이들의 제품,,,,,40.176,-51.595,20088,,40.176,-51.595,20088,
1991,69,제69류 도자제품,665.957,253.171,0,-100,,,,,665.957,253.171,0,-100
1991,71,"제71류 천연 또는 양식진주·귀석 또는 반귀석·귀금속·귀금속을 입힌 금속 및 이들의 제품, 모조신변장식용품과 주화",18741.14,,609609,,,,,,18741.14,,609609,
1991,72,제72류 철강,18170.632,1224.039,65521000,1418.095,,,,,18170.632,1224.039,65521000,1418.095
1991,74,제74류 동과 그 제품,619.423,,260000,,,,,,619.423,,260000,
1991,78,제78류 연(鉛)과 그 제품,1466.453,1024.244,2548000,1645.205,,,,,1466.453,1024.244,2548000,1645.205
1991,79,제79류 아연과 그 제품,47046.181,1454.86,43640000,2106.268,,,,,47046.181,1454.86,43640000,2106.268
1991,84,제84류 원자로·보일러와 기계류 및 이들의 부분품,17.408,25.237,0,,19.925,-98.18,0,,37.333,-96.632,0,
1991,85,"제85류 전기기기와 그 부분품, 녹음기와 음성재생기·텔레비젼의 영상 및 음성의 기록기와 재생기 및 이들의 부분품과 부속품",,,,,427.396,,0,,427.396,,0,
1991,97,제 97류 예술품·수집품과 골동품,137.244,-50.375,0,,,,,,137.244,-50.375,0,
1992,3,제3류 어류·갑각류·연체동물 및 기타 수생무척추동물,4885.173,60.138,9073696,91.158,,,,,4885.173,60.138,9073696,91.158
1992,5,제5류 다른 류에 분류되지 아니한 동물성 생산품,464.82,62.821,107410,57.354,,,,,464.82,62.821,107410,57.354
1992,7,제7류 식용의 채소·뿌리 및 괴경,3261.136,279.929,6776770,240.226,64.344,,1000000,,3325.48,287.425,7776770,290.431
1992,8,제8류 식용의 과실 및 견과류와 감귤류 또는 멜론의 껍질,1681.911,296.72,949000,219.743,,,,,1681.911,296.72,949000,219.743
1992,9,제9류 커피·차·마태 및 향신료,7.123,,22500,,,,,,7.123,,22500,
1992,12,"제12류 채유용에 적합한 종자와 과실, 각종의 종자와 과실, 공업용 또는 의약용의 식물, 짚과 사료용 식물",4647.835,66.786,1770505,129.705,,,,,4647.835,66.786,1770505,129.705
1992,14,제14류 식물성 편조물용 재료와 다른 류에 분류되지 아니한 식물성 생산품,123.969,,423900,,,,,,123.969,,423900,
1992,16,제16류 육류·어류·갑각류·연체동물 또는 기타 수생무척추동물의 조제품,330.211,-40.399,178600,-22.135,,,,,330.211,-40.399,178600,-22.135
1992,22,제22류 음료·알콜 및 식초,225.249,-32.493,0,-100,,,,,225.249,-32.493,0,-100
1992,23,제23류 식품 공업에서 생기는 잔재물 및 웨이스트와 조제사료,505.442,,1256000,,,,,,505.442,,1256000,
1992,25,"제25류 소금, 황, 토석류 및 석고·석회와 시멘트",12065.377,214.195,218064000,218.807,,,,,12065.377,214.195,218064000,218.807
1992,27,"제27류 광물성 연료, 광물유와 이들의 증류물, 역청물질 및 광물성 왁스",2514.346,-9.518,62824000,-9.376,,,,,2514.346,-39.714,62824000,-14.284
1992,28,제28류 무기화학품 및 귀금속·희토류금속·방사성원소 또는 동위원소의 유기 또는 무기화합물,148.744,7.487,1361447,239.656,,,,,148.744,3.83,1361447,235.472
1992,29,제29류 유기화학품,,,,,209.771,-81.54,203000,-83.083,209.771,-89.799,203000,-90.812
1992,32,"제32류 유연 또는 염색엑스, 탄닌과 그들의 유도체, 염료·안료와 기타 착색제, 페인트와 바니쉬, 퍼티와 기타 매스틱 및 잉크",,,,,6.4,153.968,4000,300,6.4,153.968,4000,300
1992,33,제33류 정유와 레지노이드 및 조제향료와 화장품류 또는 화장용품류,118.08,,33000,,,,,,118.08,,33000,
1992,39,제39류 플라스틱과 그 제품,1097.5,78.915,2155000,74.911,7345.475,779.356,8984402,856.805,8442.975,482.779,11139402,413.088
1992,42,제42류 가죽제품·마구·여행용구·핸드백 및 이와 유사한 용기와 동물의 거트(누에의 거트를 제외한다)의 제품,287.451,,0,,,,,,287.451,,0,
1992,44,제44류 목재와 그 제품 및 목탄,178.016,-67.233,87900,-97.338,,,,,178.016,-67.233,87900,-97.338
